dataset,task,split,seed,coverage,coverage_weighted,ess_frac,ess_fallback,conf_width,full_risk,eaurc_ens,eaurc_ad,sel_risk80_ad,sel_risk80_ens,test_pos_or_ymean,n_test
dili,classification,cluster,4,0.90625,0.8645833333333334,0.9530943974266883,False,1.59375,0.3958333333333333,0.1542812977213106,0.37474335541445225,0.42857142857142855,0.37662337662337664,0.5208,96
half_life_obach,regression,random,0,0.9104477611940298,0.9029850746268657,0.7756907291135642,False,83.5644588470459,23.804662472098617,5.476426161347226,26.555607649506523,21.426904489420078,11.361267234042842,16.2722,134
half_life_obach,regression,random,1,0.8283582089552238,0.7910447761194029,0.720232967114136,False,52.875115966796876,33.70860195836691,4.921028982224906,26.18009304409211,29.991893789290835,7.390858776930855,27.401,134
half_life_obach,regression,random,2,0.8880597014925373,0.8880597014925373,0.6430919837773152,False,80.20469188690186,16.9080736975016,6.0872169183654385,11.616795672390255,15.49542261245351,9.574284833429589,12.7532,134
half_life_obach,regression,random,3,0.8955223880597015,0.8731343283582089,0.6538919561541043,False,98.42567253112793,23.426256923248516,5.609652684640271,10.499463207369775,19.079939120831312,14.985732297720729,16.9688,134
half_life_obach,regression,random,4,0.8955223880597015,0.8432835820895522,0.7447003494945013,False,120.87209777832031,34.11649376204655,4.225593728242725,24.55566852970105,39.311566630016884,10.53863595932722,22.0178,134
half_life_obach,regression,scaffold,0,0.9701492537313433,0.9701492537313433,0.986569592587171,False,240.81288528442383,25.355378213245142,4.028218737795901,9.796505357391027,22.924782186300245,12.907557489734689,12.0924,134
half_life_obach,regression,scaffold,1,0.8805970149253731,0.8805970149253731,0.8313228348856683,False,89.5061092376709,38.26309324797744,16.638768435211066,13.40754626866459,30.63287611192438,23.15385491185029,30.1797,134
half_life_obach,regression,scaffold,2,0.9701492537313433,0.9701492537313433,0.9690995263659812,False,153.2173080444336,22.145304997265338,3.229900565993429,12.283577916571272,23.842191045521584,10.146936937763735,10.3038,134
half_life_obach,regression,scaffold,3,0.917910447761194,0.8880597014925373,0.8298040571196619,False,117.12194061279297,29.62773211594393,6.74079997474294,19.897925207028706,32.48397712073392,14.537599674744742,15.5202,134
half_life_obach,regression,scaffold,4,0.9477611940298507,0.9104477611940298,0.8103120565794701,False,135.43710571289063,31.694023135639448,4.389520877893977,32.92071019420176,33.982860102173355,9.705776609719418,18.6034,134
half_life_obach,regression,cluster,0,0.8731343283582089,0.8059701492537313,0.8665484855436749,False,110.10523834228516,37.51342892078321,14.341225402725058,22.841928688703554,36.899124601737206,25.49872018762209,23.6745,134
half_life_obach,regression,cluster,1,0.917910447761194,0.917910447761194,0.844889579439024,False,145.1190155029297,28.927217306254516,12.50569041046414,20.07562127503427,32.55999815381236,18.43792635023594,17.3144,134
half_life_obach,regression,cluster,2,0.9626865671641791,0.9552238805970149,0.8574979655984525,False,187.1345642089844,25.805481281098142,9.302004142389379,14.672363634122442,22.58956928561682,18.468464493878464,18.3481,134
half_life_obach,regression,cluster,3,0.8134328358208955,0.8134328358208955,0.8155300576760465,False,58.823944091796875,35.41203696167069,17.49108143694633,20.638181928040567,33.862173507409516,26.128739072854323,23.1052,134
half_life_obach,regression,cluster,4,0.9776119402985075,0.9477611940298507,0.7491003266612217,False,200.9104797363281,25.47282133676223,12.641284783584275,15.279299507169345,20.640166637941643,17.032059507248576,16.6178,134
herg,classification,random,0,0.9312977099236641,0.9541984732824428,0.8952745284419078,False,1.366412213740458,0.16793893129770993,0.059958949927207544,0.10466338858932603,0.1523809523809524,0.1523809523809524,0.6947,131
herg,classification,random,1,0.9236641221374046,0.9236641221374046,0.9813233209947144,False,1.4427480916030535,0.22137404580152673,0.07574121411360224,0.12695085769429265,0.19047619047619047,0.1619047619047619,0.6412,131
herg,classification,random,2,0.916030534351145,0.916030534351145,0.902453517116449,False,1.4961832061068703,0.21374045801526717,0.16453688114527165,0.13541568772859253,0.21904761904761905,0.19047619047619047,0.6031,131
herg,classification,random,3,0.9389312977099237,0.9389312977099237,0.8881104257419384,False,1.534351145038168,0.19083969465648856,0.1090977070547727,0.07375369665050399,0.1523809523809524,0.1523809523809524,0.7023,131
herg,classification,random,4,0.9312977099236641,0.9312977099236641,0.9149206549701269,False,1.2595419847328244,0.16030534351145037,0.04128800674169556,0.09443614254012354,0.1523809523809524,0.11428571428571428,0.6947,131
herg,classification,scaffold,0,0.9541984732824428,0.8931297709923665,0.608125489934334,False,1.4961832061068703,0.183206106870229,0.08302010392390197,0.08185221814055851,0.14285714285714285,0.14285714285714285,0.6565,131
herg,classification,scaffold,1,0.9541984732824428,0.9541984732824428,0.9876302374134944,False,1.534351145038168,0.17557251908396945,0.10179670568237574,0.08173130872682356,0.1523809523809524,0.14285714285714285,0.6107,131
herg,classification,scaffold,2,0.9083969465648855,0.9083969465648855,0.9841541522854691,False,1.381679389312977,0.2748091603053435,0.08542894312629128,0.14029932902619996,0.24761904761904763,0.2,0.6031,131
herg,classification,scaffold,3,0.7862595419847328,0.8396946564885496,0.851004705719785,False,1.1068702290076335,0.2595419847328244,0.14300177525588376,0.1470635355263964,0.2571428571428571,0.22857142857142856,0.5573,131
herg,classification,scaffold,4,0.8778625954198473,0.8778625954198473,0.9033559186400462,False,1.2442748091603053,0.25190839694656486,0.0942742096330943,0.08885259322050512,0.21904761904761905,0.17142857142857143,0.5649,131
herg,classification,cluster,0,0.9312977099236641,0.8778625954198473,0.8851775082733695,False,1.6488549618320612,0.3282442748091603,0.17045585706407823,0.25005200646337533,0.3238095238095238,0.2857142857142857,0.5191,131
herg,classification,cluster,1,0.8854961832061069,0.8549618320610687,0.8427284563318767,False,1.4732824427480915,0.2824427480916031,0.13656248751201255,0.21213328608330262,0.2857142857142857,0.2571428571428571,0.4885,131
herg,classification,cluster,2,0.8396946564885496,0.8396946564885496,0.8867146942333508,False,1.4732824427480915,0.3282442748091603,0.19834709245289484,0.2673803113125312,0.3333333333333333,0.29523809523809524,0.4427,131
herg,classification,cluster,3,0.9465648854961832,0.9618320610687023,0.8760583589338303,False,1.7099236641221374,0.3435114503816794,0.1661579749854828,0.21316716161326044,0.3333333333333333,0.3047619047619048,0.4809,131
herg,classification,cluster,4,0.9236641221374046,0.9007633587786259,0.7198870071356143,False,1.618320610687023,0.2824427480916031,0.13666089083826516,0.22918507134017785,0.2761904761904762,0.2,0.4885,131
hia_hou,classification,random,0,0.9743589743589743,0.9316239316239316,0.624842319436066,False,1.0,0.02564102564102564,0.0012145961284328107,0.00780245976368942,0.02127659574468085,0.0,0.9487,117
hia_hou,classification,random,1,0.905982905982906,0.905982905982906,0.9970166738913752,False,1.0,0.09401709401709402,0.006839927209175142,0.095215227483688,0.09574468085106383,0.010638297872340425,0.8547,117
hia_hou,classification,random,2,0.9572649572649573,0.9572649572649573,0.6648598994491624,False,1.0085470085470085,0.042735042735042736,0.004505772320633546,0.056061595306694675,0.0425531914893617,0.0,0.8974,117
hia_hou,classification,random,3,0.8888888888888888,0.8888888888888888,0.9128765786708363,False,0.9230769230769231,0.07692307692307693,0.004493062216626121,0.0251101550474569,0.05319148936170213,0.010638297872340425,0.8632,117
hia_hou,classification,random,4,0.9316239316239316,0.9316239316239316,0.9949125563243034,False,0.9487179487179487,0.042735042735042736,0.0018080373523919136,0.011133790245530363,0.02127659574468085,0.010638297872340425,0.906,117
hia_hou,classification,scaffold,0,0.8717948717948718,0.8205128205128205,0.7446332171035225,False,1.0,0.1282051282051282,0.021120622556426175,0.050259843794134944,0.10638297872340426,0.05319148936170213,0.8547,117
hia_hou,classification,scaffold,1,0.9145299145299145,0.8717948717948718,0.9741330196977921,False,1.170940170940171,0.17094017094017094,0.03862969209626697,0.13321415286559773,0.13829787234042554,0.0851063829787234,0.8034,117
hia_hou,classification,scaffold,2,0.9316239316239316,0.9230769230769231,0.9864404689651226,False,1.2478632478632479,0.1111111111111111,0.04985297684505778,0.0927277455112851,0.10638297872340426,0.09574468085106383,0.8376,117
hia_hou,classification,scaffold,3,0.9487179487179487,0.9487179487179487,0.8125320083222713,False,1.0598290598290598,0.07692307692307693,0.005012144527272333,0.042569651833333805,0.06382978723404255,0.010638297872340425,0.906,117
hia_hou,classification,scaffold,4,0.9316239316239316,0.8974358974358975,0.7406871028998498,False,1.0427350427350428,0.07692307692307693,0.01527588307562735,0.08446825111830256,0.05319148936170213,0.05319148936170213,0.8376,117
hia_hou,classification,cluster,0,0.8888888888888888,0.8888888888888888,0.985352045595653,False,0.9829059829059829,0.10256410256410256,0.01855601695605169,0.05104429131505598,0.07446808510638298,0.05319148936170213,0.8547,117
hia_hou,classification,cluster,1,0.9316239316239316,0.9829059829059829,0.8019569408966623,False,1.1111111111111112,0.1111111111111111,0.008617666300024113,0.10958897358625323,0.11702127659574468,0.031914893617021274,0.8889,117
hia_hou,classification,cluster,2,0.9572649572649573,0.9572649572649573,0.834510332948928,False,1.0940170940170941,0.13675213675213677,0.009302193889368636,0.10764490746234733,0.1276595744680851,0.02127659574468085,0.8889,117
hia_hou,classification,cluster,3,0.9230769230769231,0.9230769230769231,0.9692332120499769,False,1.1282051282051282,0.15384615384615385,0.013074140504092842,0.08958131374005368,0.09574468085106383,0.06382978723404255,0.906,117
hia_hou,classification,cluster,4,0.9572649572649573,0.9572649572649573,0.9532504645325911,False,1.205128205128205,0.1111111111111111,0.033829082529745855,0.10140111259408936,0.07446808510638298,0.06382978723404255,0.8974,117
ld50_zhu,regression,random,0,0.9135466303607896,0.9121851599727706,0.9729332439287338,False,1.9684432373046876,0.45272661125814134,0.22244194434997583,0.22938077633376414,0.43334308083689893,0.4205747711155688,2.5206,1469
ld50_zhu,regression,random,1,0.899931926480599,0.8965282505105514,0.9801588897454001,False,1.944110641479492,0.45935984401798097,0.2121143927348725,0.22816469248058976,0.4322451988172095,0.42957532325055914,2.5515,1469
ld50_zhu,regression,random,2,0.9135466303607896,0.9121851599727706,0.9786269538151653,False,2.0285034866333014,0.4640313671876818,0.21935209061059144,0.2177561434169277,0.44165612592097053,0.4320129787062302,2.5309,1469
ld50_zhu,regression,random,3,0.8978897208985704,0.8978897208985704,0.9746893719420116,False,1.9683187026977542,0.46241005432132365,0.22582082148506905,0.2254345860080184,0.4442912217194801,0.4324411853762711,2.5447,1469
ld50_zhu,regression,random,4,0.8890401633764465,0.8910823689584751,0.9822633265347399,False,1.9325304946899418,0.47781988474233694,0.24364161035282977,0.21592197036109334,0.43854227141377045,0.45300977599620806,2.5408,1469
ld50_zhu,regression,scaffold,0,0.8931245745405038,0.8931245745405038,0.9919626284701563,False,2.101750644683838,0.5128007089285075,0.2529768887081618,0.24755918931840587,0.4848729408322544,0.4872333920496666,2.4032,1469
ld50_zhu,regression,scaffold,1,0.8944860449285228,0.8917631041524847,0.980595980197784,False,2.200869701385498,0.5385100684766465,0.2714719686246887,0.26050683916769424,0.5100014489410686,0.5079722979887817,2.4057,1469
ld50_zhu,regression,scaffold,2,0.911504424778761,0.9094622191967324,0.9827773396462026,False,2.2678966789245605,0.5208530322977928,0.2546078195965159,0.2512104248465583,0.49399989322334775,0.48648519259569584,2.4051,1469
ld50_zhu,regression,scaffold,3,0.9012933968686181,0.9006126616746086,0.9758385425646806,False,2.1957603912353516,0.5219903757070667,0.26173470928817255,0.2362174501363879,0.4901047042405519,0.4920294219936644,2.4288,1469
ld50_zhu,regression,scaffold,4,0.899931926480599,0.8965282505105514,0.9846284303452423,False,2.1115179481506345,0.5136887341097475,0.26455228895848487,0.2594097976755142,0.48167335894561936,0.4876960486343938,2.3798,1469
ld50_zhu,regression,cluster,0,0.8672566371681416,0.8672566371681416,0.9760769109290687,False,2.2291289558410643,0.5912651901569718,0.29191543545202675,0.2707711704060192,0.5516175279276705,0.5643400033363671,2.4224,1469
