dataset,task,metric,fm,split,split_seed,model_seed,score
clearance_hepatocyte_az,regression,spearman,chemberta,random,2,0,0.40175832848149223
clearance_hepatocyte_az,regression,spearman,chemberta,random,2,1,0.39406853348544396
clearance_hepatocyte_az,regression,spearman,chemberta,random,2,2,0.4010692990560244
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,2,0,0.4765695781181144
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,2,1,0.4603007005457568
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,2,2,0.40758129083721334
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,2,0,0.1616320434453425
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,2,1,0.21263195428829382
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,2,2,0.17531325495935102
clearance_hepatocyte_az,regression,spearman,chemberta,random,3,0,0.46170395443989815
clearance_hepatocyte_az,regression,spearman,chemberta,random,3,1,0.46248851795287466
clearance_hepatocyte_az,regression,spearman,chemberta,random,3,2,0.47234260737780664
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,3,0,0.271431097584861
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,3,1,0.3199374859518415
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,3,2,0.34188257209491724
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,3,0,0.24043458641055648
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,3,1,0.1964286333050428
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,3,2,0.20074563713995905
clearance_hepatocyte_az,regression,spearman,chemberta,random,4,0,0.4678012248536098
clearance_hepatocyte_az,regression,spearman,chemberta,random,4,1,0.40722466343769403
clearance_hepatocyte_az,regression,spearman,chemberta,random,4,2,0.5064518966624401
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,4,0,0.41561689484656456
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,4,1,0.4371047934041617
clearance_hepatocyte_az,regression,spearman,chemberta,scaffold,4,2,0.4692754413055791
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,4,0,0.2373007608294892
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,4,1,0.2702696840301581
clearance_hepatocyte_az,regression,spearman,chemberta,cluster,4,2,0.26450978838785727
clearance_microsome_az,regression,spearman,chemberta,random,0,0,0.5301833379056182
clearance_microsome_az,regression,spearman,chemberta,random,0,1,0.5446130051749306
clearance_microsome_az,regression,spearman,chemberta,random,0,2,0.5094841244707824
clearance_microsome_az,regression,spearman,chemberta,scaffold,0,0,0.4818856011939501
clearance_microsome_az,regression,spearman,chemberta,scaffold,0,1,0.4652801332525293
clearance_microsome_az,regression,spearman,chemberta,scaffold,0,2,0.4925353119896528
clearance_microsome_az,regression,spearman,chemberta,cluster,0,0,0.26519373784494843
clearance_microsome_az,regression,spearman,chemberta,cluster,0,1,0.32674180850080753
clearance_microsome_az,regression,spearman,chemberta,cluster,0,2,0.32262480794336085
clearance_microsome_az,regression,spearman,chemberta,random,1,0,0.5054753533856522
clearance_microsome_az,regression,spearman,chemberta,random,1,1,0.5176614841950158
clearance_microsome_az,regression,spearman,chemberta,random,1,2,0.5611360709151612
clearance_microsome_az,regression,spearman,chemberta,scaffold,1,0,0.4268692537450184
clearance_microsome_az,regression,spearman,chemberta,scaffold,1,1,0.3832623270104617
clearance_microsome_az,regression,spearman,chemberta,scaffold,1,2,0.3644691130011465
clearance_microsome_az,regression,spearman,chemberta,cluster,1,0,0.3648682135982321
clearance_microsome_az,regression,spearman,chemberta,cluster,1,1,0.2837269133737928
clearance_microsome_az,regression,spearman,chemberta,cluster,1,2,0.2964484814415593
clearance_microsome_az,regression,spearman,chemberta,random,2,0,0.575731457415689
clearance_microsome_az,regression,spearman,chemberta,random,2,1,0.5468273117852352
clearance_microsome_az,regression,spearman,chemberta,random,2,2,0.5645665370430792
clearance_microsome_az,regression,spearman,chemberta,scaffold,2,0,0.36334036808552683
clearance_microsome_az,regression,spearman,chemberta,scaffold,2,1,0.37828595524434255
clearance_microsome_az,regression,spearman,chemberta,scaffold,2,2,0.3759781725451202
clearance_microsome_az,regression,spearman,chemberta,cluster,2,0,0.3280680835043259
clearance_microsome_az,regression,spearman,chemberta,cluster,2,1,0.2901051688802421
clearance_microsome_az,regression,spearman,chemberta,cluster,2,2,0.2810828754245088
clearance_microsome_az,regression,spearman,chemberta,random,3,0,0.529807050623442
clearance_microsome_az,regression,spearman,chemberta,random,3,1,0.5161978867568598
clearance_microsome_az,regression,spearman,chemberta,random,3,2,0.58224624746628
clearance_microsome_az,regression,spearman,chemberta,scaffold,3,0,0.39692611734997846
clearance_microsome_az,regression,spearman,chemberta,scaffold,3,1,0.4298238807131275
clearance_microsome_az,regression,spearman,chemberta,scaffold,3,2,0.3906285646442799
clearance_microsome_az,regression,spearman,chemberta,cluster,3,0,0.29601450258600664
clearance_microsome_az,regression,spearman,chemberta,cluster,3,1,0.2553745973797162
clearance_microsome_az,regression,spearman,chemberta,cluster,3,2,0.2937770949789504
clearance_microsome_az,regression,spearman,chemberta,random,4,0,0.5146758735438701
clearance_microsome_az,regression,spearman,chemberta,random,4,1,0.5643661462814975
clearance_microsome_az,regression,spearman,chemberta,random,4,2,0.48411028287896135
clearance_microsome_az,regression,spearman,chemberta,scaffold,4,0,0.3846120485856949
clearance_microsome_az,regression,spearman,chemberta,scaffold,4,1,0.4458898577658465
clearance_microsome_az,regression,spearman,chemberta,scaffold,4,2,0.3125283177327967
clearance_microsome_az,regression,spearman,chemberta,cluster,4,0,0.19707598897920078
clearance_microsome_az,regression,spearman,chemberta,cluster,4,1,0.2626063265255538
clearance_microsome_az,regression,spearman,chemberta,cluster,4,2,0.1793760248962455
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,0,0,0.5313853353873592
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,0,1,0.47340283821062246
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,0,2,0.5537451517950006
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,0,0,0.364155277821433
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,0,1,0.35645790833909496
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,0,2,0.3309770345072485
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,0,0,0.2451666635073366
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,0,1,0.24297412694241224
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,0,2,0.2587396341650547
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,1,0,0.35629413942714505
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,1,1,0.3855474036162726
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,1,2,0.36750400850194276
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,1,0,0.4033663394952487
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,1,1,0.41711704676516176
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,1,2,0.39121212695534346
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,1,0,0.21059894001855653
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,1,1,0.19191184386059545
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,1,2,0.21895981395572733
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,2,0,0.49711056719567037
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,2,1,0.42647349860767475
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,2,2,0.5008229816942567
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,2,0,0.32197193441157257
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,2,1,0.3296272310803104
